po_idx,po_code,po_desc,found_code,found_desc,found_source,db_type,score,match_type
1.1.5,02.02.130,"LOCAÇÃO DE CONTAINER TIPO ESCRITÓRIO COM 1 VASO SANITÁRIO, 1 LAVATÓRIO E 1 PONTO PARA CHUVEIRO - ÁREA MÍNIMA DE 13,80 M² (DESTINADO A CONSTRUTORA)",02.02.130,"LOCAÇÃO DE CONTAINER TIPO ESCRITÓRIO COM 1 VASO SANITÁRIO, 1 LAVATÓRIO E 1 PONTO PARA CHUVEIRO - ÁREA MÍNIMA DE 13,80 M² (DESTINADO A CONSTRUTORA)",SP OBRAS,INSUMO,100,EXACT_CODE
1.1.6,02.02.130,"LOCAÇÃO DE CONTAINER TIPO ESCRITÓRIO COM 1 VASO SANITÁRIO, 1 LAVATÓRIO E 1 PONTO PARA CHUVEIRO - ÁREA MÍNIMA DE 13,80 M² (DESTINADO A EMPRESA FISCALIZADORA)",02.02.130,"LOCAÇÃO DE CONTAINER TIPO ESCRITÓRIO COM 1 VASO SANITÁRIO, 1 LAVATÓRIO E 1 PONTO PARA CHUVEIRO - ÁREA MÍNIMA DE 13,80 M² (DESTINADO A CONSTRUTORA)",SP OBRAS,INSUMO,100,EXACT_CODE
1.1.7,02.02.130,"LOCAÇÃO DE CONTAINER TIPO ESCRITÓRIO COM 1 VASO SANITÁRIO, 1 LAVATÓRIO E 1 PONTO PARA CHUVEIRO - ÁREA MÍNIMA DE 13,80 M² (DESTINADO A EBSERH)",02.02.130,"LOCAÇÃO DE CONTAINER TIPO ESCRITÓRIO COM 1 VASO SANITÁRIO, 1 LAVATÓRIO E 1 PONTO PARA CHUVEIRO - ÁREA MÍNIMA DE 13,80 M² (DESTINADO A CONSTRUTORA)",SP OBRAS,INSUMO,100,EXACT_CODE
1.1.8,02.02.160,"LOCAÇÃO DE CONTAINER TIPO GUARITA - ÁREA MÍNIMA DE 4,60 M²",02.02.160,"LOCAÇÃO DE CONTAINER TIPO GUARITA - ÁREA MÍNIMA DE 4,60 M²",SP OBRAS,INSUMO,100,EXACT_CODE
1.2.1,CPU-003,EQUIPE DE GESTÃO DA OBRA COM ENCARGOS COMPLEMENTARES,CPU-003,EQUIPE DE GESTÃO DA OBRA COM ENCARGOS COMPLEMENTARES,PRÓPRIA,INSUMO,100,EXACT_CODE
1.2.2,CPU-004,ART - ANOTAÇÃO DE RESPONSABILIDADE TÉCNICA (VALOR ÚNICO PARA ESTE PORTE DE OBRA EM TODO O TERRITÓRIO NACIONAL),CPU-004,ART - ANOTAÇÃO DE RESPONSABILIDADE TÉCNICA (VALOR ÚNICO PARA ESTE PORTE DE OBRA EM TODO O TERRITÓRIO NACIONAL),PRÓPRIA,INSUMO,100,EXACT_CODE
1.2.3,CO-19622,ELABORAÇÃO DO PLANO DE GERENCIAMENTO DE RESÍDUOS DE CONSTRUÇÃO CIVIL (PGRCC),CO-19622,ELABORAÇÃO DO PLANO DE GERENCIAMENTO DE RESÍDUOS DE CONSTRUÇÃO CIVIL (PGRCC),SETOP,INSUMO,100,EXACT_CODE
1.2.4,CPU-005,PROGRAMA DE GERENCIAMENTO DE RISCOS (PGR),CPU-005,PROGRAMA DE GERENCIAMENTO DE RISCOS (PGR),PRÓPRIA,INSUMO,100,EXACT_CODE
1.2.5,CPU-006,PROGRAMA DE CONTROLE MÉDICO DE SAÚDE OCUPACIONAL (PCMSO),CPU-006,PROGRAMA DE CONTROLE MÉDICO DE SAÚDE OCUPACIONAL (PCMSO),PRÓPRIA,INSUMO,100,EXACT_CODE
1.2.6,CPU-007,CONSUMO TELEFONE,CPU-007,CONSUMO MENSAL DE TELEFONE CELULAR - EQUIPE GERENCIAL,PRÓPRIA,INSUMO,100,EXACT_CODE
1.2.6,CPU-007,CONSUMO TELEFONE,CPU-007,CONSUMO MENSAL DE TELEFONE CELULAR - EQUIPE GERENCIAL,CLARO,INSUMO,100,EXACT_CODE
1.2.7,CPU-008,INTERNET FIXA VIA FIBRA ÓTICA PARA ESCRITÓRIO / CANTEIRO DE OBRAS,CPU-008,INTERNET FIXA VIA FIBRA ÓTICA PARA ESCRITÓRIO / CANTEIRO DE OBRAS,PRÓPRIA,INSUMO,100,EXACT_CODE
1.2.8,CPU-009,TAXA DE ALVARÁ DE CONSTRUÇÃO,CPU-009,TAXA DE ALVARÁ DE CONSTRUÇÃO,PRÓPRIA,INSUMO,100,EXACT_CODE
1.2.9,CPU-010,MANUTENÇÃO MENSAL DE CANTEIROS,CPU-010,MANUTENÇÃO MENSAL DE CANTEIROS,PRÓPRIA,INSUMO,100,EXACT_CODE
1.3.1,00020193,"LOCACAO DE ANDAIME METALICO TIPO FACHADEIRO, PECAS COM APROXIMADAMENTE 1,20 M DE LARGURA E 2,0 M DE ALTURA, INCLUINDO DIAGONAIS EM X, BARRAS DE LIGACAO, SAPATAS E DEMAIS ITENS NECESSARIOS A MONTAGEM (NAO INCLUI INSTALACAO)",00020193,"LOCACAO DE ANDAIME METALICO TIPO FACHADEIRO, PECAS COM APROXIMADAMENTE 1,20 M DE LARGURA E 2,0 M DE ALTURA, INCLUINDO DIAGONAIS EM X, BARRAS DE LIGACAO, SAPATAS E DEMAIS ITENS NECESSARIOS A MONTAGEM (NAO INCLUI INSTALACAO)",SINAPI,INSUMO,100,EXACT_CODE
1.3.10,10364,"CONE PARA SINALIZAÇAO ( NBR-15.071, H=75CM)",10364,"CONE PARA SINALIZAÇAO ( NBR-15.071, H=75CM)",DER-ES,INSUMO,100,EXACT_CODE
1.3.11,A.05.000.080110,"BALANCIM ELÉTRICO TIPO PLATAFORMA DE 3 M DE COMPRIMENTO, PARA TRANSPORTE VERTICAL, COM CABO PASSANTE DE 60M, COM GANCHO, CLIPS, SAPATILHAS, PONTA DE CABO, ETC.",A.05.000.080110,"Balancim elétrico tipo plataforma de 3 m de comprimento, para transporte vertical, com cabo passante de 60m, com gancho, clips, sapatilhas, ponta de cabo, etc.",SP Obras,INSUMO,100,EXACT_CODE
1.3.11,A.05.000.080110,"BALANCIM ELÉTRICO TIPO PLATAFORMA DE 3 M DE COMPRIMENTO, PARA TRANSPORTE VERTICAL, COM CABO PASSANTE DE 60M, COM GANCHO, CLIPS, SAPATILHAS, PONTA DE CABO, ETC.",A.05.000.080110,"BALANCIM ELÉTRICO TIPO PLATAFORMA DE 3 M DE COMPRIMENTO, PARA TRANSPORTE VERTICAL, COM CABO PASSANTE DE 6M, COM GANCHO, CLIPS, SAPATILHAS, PONTA DE CABO, ETC.",SP OBRAS,COMP_ANALITICA,100,EXACT_CODE
1.3.12,55.10.030,LOCAÇÃO DE DUTO COLETOR DE ENTULHO,55.10.030,LOCAÇÃO DE DUTO COLETOR DE ENTULHO,SP OBRAS,INSUMO,100,EXACT_CODE
1.3.16,18.025.0005-0,"BEBEDOURO PURIFICADOR,DE COLUNA,EM ACO INOXIDAVEL,MODELO PRESSAO,COM 2 TORNEIRAS,VAZAO MINIMA DE 30L/H,CONFORME ABNT NBR16236.FORNECIMENTO",18.025.0005-0,"BEBEDOURO PURIFICADOR,DE COLUNA,EM ACO INOXIDAVEL,MODELO PRESSAO,COM 2 TORNEIRAS,VAZAO MINIMA DE 30L/H,CONFORME ABNT NBR16236.FORNECIMENTO",EMOP,INSUMO,100,EXACT_CODE
1.3.17,S12259,"MANUTENÇÃO DE ELEVADOR CREMALHEIRA OMG12 COM 45,50M DE ALTURA, PREVISTA APÓS 30 DIAS DE OPERAÇÃO. COBRADO MENSALMENTE, INCLUSIVE TESTE DE FREIO A CADA 90 DIAS",S12259,"MANUTENÇÃO DE ELEVADOR CREMALHEIRA OMG12 COM 45,50M DE ALTURA, PREVISTA APÓS 30 DIAS DE OPERAÇÃO. COBRADO MENSALMENTE, INCLUSIVE TESTE DE FREIO A CADA 90 DIAS",ORSE,INSUMO,100,EXACT_CODE
1.3.18,I13099,"MONTAGEM DE ELEVADOR CREMALHEIRA OMG12 COM 45,50M DE ALTURA, CABINE SIMPLES - 1.200KG OU 17 PESSOAS",I13099,"MONTAGEM DE ELEVADOR CREMALHEIRA OMG12 COM 45,50M DE ALTURA, CABINE SIMPLES - 1.200KG OU 17 PESSOAS",ORSE,INSUMO,100,EXACT_CODE
1.3.19,S12258,"DESMONTAGEM DE ELEVADOR CREMALHEIRA OMG12 COM 45,50M DE ALTURA, CABINE SIMPLES - 1.200KG OU 17 PESSOAS",S12258,"DESMONTAGEM DE ELEVADOR CREMALHEIRA OMG12 COM 45,50M DE ALTURA, CABINE SIMPLES - 1.200KG OU 17 PESSOAS",ORSE,INSUMO,100,EXACT_CODE
1.3.2,00010527,"LOCACAO DE ANDAIME METALICO TUBULAR DE ENCAIXE, TIPO DE TORRE, CADA PAINEL COM LARGURA DE 1 ATE 1,5 M E ALTURA DE *1,00* M, INCLUINDO DIAGONAL, BARRAS DE LIGACAO, SAPATAS OU RODIZIOS E DEMAIS ITENS NECESSARIOS A MONTAGEM (NAO INCLUI INSTALACAO)",00010527,"LOCACAO DE ANDAIME METALICO TUBULAR DE ENCAIXE, TIPO DE TORRE, CADA PAINEL COM LARGURA DE 1 ATE 1,5 M E ALTURA DE *1,00* M, INCLUINDO DIAGONAL, BARRAS DE LIGACAO, SAPATAS OU RODIZIOS E DEMAIS ITENS NECESSARIOS A MONTAGEM (NAO INCLUI INSTALACAO)",SINAPI,INSUMO,100,EXACT_CODE
1.3.20,S12260,"LOCAÇÃO DE ELEVADOR CREMALHEIRA COM 45,50M DE ALTURA, 03 CANCELAS, CABINE SIMPLES - 1.200KG OU 17 PESSOAS.",S12260,"LOCAÇÃO DE ELEVADOR CREMALHEIRA COM 45,50M DE ALTURA, 03 CANCELAS, CABINE SIMPLES - 1.200KG OU 17 PESSOAS.",ORSE,INSUMO,100,EXACT_CODE
10.2,32.06.030,LÃ DE VIDRO E/OU LÃ DE ROCHA COM ESPESSURA DE 2´,32.06.030,LÃ DE VIDRO E/OU LÃ DE ROCHA COM ESPESSURA DE 2´,SP OBRAS,INSUMO,100,EXACT_CODE
10.3,CPU-HSP-1117,"ISOLAMENTO ACÚSTICO EM PLACAS DE ESPUMA EM MELAMINA INCOMBUSTÍVEL, COM DIMENSÕES 625X625X50MM, COR CINZA FOG, DENSIDADE DE 35KG/M3",CPU-HSP-1117,"ISOLAMENTO ACÚSTICO EM PLACAS DE ESPUMA EM MELAMINA INCOMBUSTÍVEL, COM DIMENSÕES 625X625X50MM, COR CINZA FOG, DENSIDADE DE 35KG/M3",CPU-PPR,INSUMO,100,EXACT_CODE
10.4,14.30.310,"DIVISÓRIA EM PLACAS DE GESSO ACARTONADO, RESISTÊNCIA AO FOGO 30 MINUTOS, ESPESSURA 100/70MM - 1ST / 1ST",14.30.310,"DIVISÓRIA EM PLACAS DE GESSO ACARTONADO, RESISTÊNCIA AO FOGO 30 MINUTOS, ESPESSURA 100/70MM - 1ST / 1ST",SP OBRAS,INSUMO,100,EXACT_CODE
10.5,14.30.410,"DIVISÓRIA EM PLACAS DE GESSO ACARTONADO, RESISTÊNCIA AO FOGO 30 MINUTOS, ESPESSURA 100/70MM - 1RU / 1RU",14.30.410,"DIVISÓRIA EM PLACAS DE GESSO ACARTONADO, RESISTÊNCIA AO FOGO 30 MINUTOS, ESPESSURA 100/70MM - 1RU / 1RU",SP OBRAS,INSUMO,100,EXACT_CODE
10.6,S08372,REVESTIMENTO COM PLACA MDF 6MM REVESTIDO EM CHAPA AÇO INOX ESCOVADO - REV 01,S08372,REVESTIMENTO COM PLACA MDF 6MM REVESTIDO EM CHAPA AÇO INOX ESCOVADO - REV 01,ORSE,INSUMO,100,EXACT_CODE
11.9,S10716,"REVESTIMENTO EM ARGAMASSA BARITA, ESPESSURA 2,00 CM",S10716,"REVESTIMENTO EM ARGAMASSA BARITA, ESPESSURA 2,00 CM",ORSE,INSUMO,100,EXACT_CODE
12.1,2408149,"ESTRUTURA EM PERFIL DE AÇO ASTM A36 CORTE, SOLDA E MONTAGEM - FORNECIMENTO E INSTALAÇÃO",2408149,"ESTRUTURA EM PERFIL DE AÇO ASTM A36 CORTE, SOLDA E MONTAGEM - FORNECIMENTO E INSTALAÇÃO",SICRO,INSUMO,100,EXACT_CODE
12.1,2408149,"ESTRUTURA EM PERFIL DE AÇO ASTM A36 CORTE, SOLDA E MONTAGEM - FORNECIMENTO E INSTALAÇÃO",2408149,"Estrutura em perfil de aço ASTM A36 corte, solda e montagem - fornecimento e instalação",SICRO NOVO,INSUMO,100,EXACT_CODE
12.10,22.06.240,BRISE EM ALUMÍNIO COM PAINÉIS DE GEOMETRIA RETANGULAR E INTERIOR EM CÉLULAS ESTRUTURAIS EM ALUMÍNIO (HONEYCOMB),22.06.240,"PROTETOR DE PAREDE EM PVC LARGURA 200MM, ESPESSURA 3,5MM, COR AZUL ESCURO, REF. TECNOPERFIL TEC198N OU EQUIVALENTE TÉCNICO - FORNECIMENTO E INSTALAÇÃO",SP OBRAS,INSUMO,100,EXACT_CODE
12.2,C2040,PINTURA C/ PRIMER EPOXI EM ESTRUTURA DE AÇO CARBONO 25 MICRA C/REVÓLVER,C2040,PINTURA C/ PRIMER EPOXI EM ESTRUTURA DE AÇO CARBONO 25 MICRA C/REVÓLVER,SEINFRA,INSUMO,100,EXACT_CODE
12.3,C2473,PINTURA C/ TINTA EPOXI EM ESTRUTURA DE AÇO CARBONO 50 MICRA C/REVÓLVER,C2473,PINTURA C/ TINTA EPOXI EM ESTRUTURA DE AÇO CARBONO 50 MICRA C/REVÓLVER,SEINFRA,INSUMO,100,EXACT_CODE
12.8,21.03.153,"REVESTIMENTO EM PLACA DE ALUMÍNIO COMPOSTO ""ACM"", ESPESSURA DE 3 MM E ACABAMENTO EM POLIÉSTER - USO INTERNO",21.03.153,"REVESTIMENTO EM PLACA DE ALUMÍNIO COMPOSTO ""ACM"", ESPESSURA DE 3 MM E ACABAMENTO EM POLIÉSTER - USO INTERNO",SP OBRAS,INSUMO,100,EXACT_CODE
13.1.1,21.02.060,"REVESTIMENTO VINÍLICO, ESPESSURA DE 3,2 MM, PARA TRÁFEGO INTENSO, COM IMPERMEABILIZANTE ACRÍLICO",21.02.060,"REVESTIMENTO VINÍLICO, ESPESSURA DE 3,2 MM, PARA TRÁFEGO INTENSO, COM IMPERMEABILIZANTE ACRÍLICO",SP OBRAS,INSUMO,100,EXACT_CODE
13.1.4,13.331.0020-0,"PISO PORCELANATO 90X90CM, ACABAMENTO NATURAL ANTIDERRAPANTE E BORDAS RETIFICADAS. COR CONFORME ESPECIFICADO. ÍNDICE DE ABSORÇÃO DE ÁGUA IGUAL OU MENOR QUE 0,5%, RESISTENCIA QUÍMICA DA CLASSE A E COEFICIENTE DE ATRITO IGUAL OU MAIOR QUE 0,4. REJUNTE DE 2MM, FLEXÍVEL À BASE DE EPÓXI, COR NO PADRÃO DO PORCELANATO.",13.331.0020-0,"PISO PORCELANATO 90X90CM, ACABAMENTO NATURAL ANTIDERRAPANTE E BORDAS RETIFICADAS. COR CONFORME ESPECIFICADO. ÍNDICE DE ABSORÇÃO DE ÁGUA IGUAL OU MENOR QUE 0,5%, RESISTENCIA QUÍMICA DA CLASSE A E COEFICIENTE DE ATRITO IGUAL OU MAIOR QUE 0,4. REJUNTE DE 2MM, FLEXÍVEL À BASE DE EPÓXI, COR NO PADRÃO DO PORCELANATO.",EMOP,INSUMO,100,EXACT_CODE
13.2.1,13.331.0055-0,"RODAPÉ CERÂMICO PARA PISO COM PLACAS TIPO PORCELANATO DE DIMENSÕES 90X90 CM, ALTURA 15 CM",13.331.0055-0,"RODAPÉ CERÂMICO PARA PISO COM PLACAS TIPO PORCELANATO DE DIMENSÕES 90X90 CM, ALTURA 15 CM",EMOP,INSUMO,100,EXACT_CODE
14.1,22.02.100,"FORRO EM PAINÉIS DE GESSO ACARTONADO REMOVÍVEL, ACABAMENTO LISO COM PELÍCULA RÍGIDA DE PVC, PLACAS 625X625MM/625X1250MM",22.02.100,"FORRO EM PAINÉIS DE GESSO ACARTONADO REMOVÍVEL, ACABAMENTO LISO COM PELÍCULA RÍGIDA DE PVC, PLACAS 625X625MM/625X1250MM",SP OBRAS,INSUMO,100,EXACT_CODE
14.2,22.02.030,"FORRO EM PAINEL DE GESSO ACARTONADO, TIPO STANDARD, ESPESSURA 12,5MM, ESTRUTURA EM AÇO GALVANIZADO",22.02.030,"FORRO EM PAINEL DE GESSO ACARTONADO, TIPO STANDARD, ESPESSURA 12,5MM, ESTRUTURA EM AÇO GALVANIZADO",SP OBRAS,INSUMO,100,EXACT_CODE
15.1.1,25.01.080,"CAIXILHO EM ALUMÍNIO DE CORRER, SOB MEDIDA",25.01.080,"CAIXILHO EM ALUMÍNIO DE CORRER, SOB MEDIDA",SP OBRAS,INSUMO,100,EXACT_CODE
15.1.2,25.01.470,"CAIXILHO FIXO TIPO VENEZIANA EM ALUMÍNIO ANODIZADO, SOB MEDIDA - BRANCO",25.01.470,"CAIXILHO FIXO TIPO VENEZIANA EM ALUMÍNIO ANODIZADO, SOB MEDIDA - BRANCO",SP OBRAS,INSUMO,100,EXACT_CODE
15.1.3,14.003.0400-0,"TELA TIPO MOSQUITEIRO, EM POLIETILENO, COM MOLDURA EM PERFIL DE ALUMINIO ANODIZADO.FORNECIMENTO E COLOCACAO",14.003.0400-0,"TELA TIPO MOSQUITEIRO, EM POLIETILENO, COM MOLDURA EM PERFIL DE ALUMINIO ANODIZADO.FORNECIMENTO E COLOCACAO",EMOP,INSUMO,100,EXACT_CODE
15.1.6,161384,VIDRO LAMINADO E=6MM 3+3MM,161384,VIDRO LAMINADO E=6MM 3+3MM,SEDOP,INSUMO,100,EXACT_CODE
15.2.1,25.01.450,"CAIXILHO EM ALUMÍNIO PARA PELE DE VIDRO, TIPO FACHADA",25.01.450,"CAIXILHO EM ALUMÍNIO PARA PELE DE VIDRO, TIPO FACHADA",SP OBRAS,INSUMO,100,EXACT_CODE
15.3.1,24.02.054,"PORTA CORTA-FOGO CLASSE P.90, COM BARRA ANTIPÂNICO NUMA FACE E MAÇANETA NA OUTRA, COMPLETA",24.02.054,"PORTA CORTA-FOGO CLASSE P.90, COM BARRA ANTIPÂNICO NUMA FACE E MAÇANETA NA OUTRA, COMPLETA",SP OBRAS,INSUMO,100,EXACT_CODE
15.3.2,11398,"PORTA RADIOLOGIA PRX, EM MADEIRA MACICA BLINDADA COM CHUMBODE 1MM",11398,"PORTA RADIOLOGIA PRX, EM MADEIRA MACICA BLINDADA COM CHUMBODE 1MM",EMOP,INSUMO,100,EXACT_CODE
15.3.3,28.20.800,EQUIPAMENTO AUTOMATIZADOR DE PORTAS DESLIZANTES PARA FOLHA DUPLA,28.20.800,EQUIPAMENTO AUTOMATIZADOR DE PORTAS DESLIZANTES PARA FOLHA DUPLA,SP OBRAS,INSUMO,100,EXACT_CODE
15.4.3,S14051,"PORTA DE CORRER EM VIDRO TEMPERADO INCOLOR 10MM, INCLUSIVE FECHADURA, PUXADOR, TRILHOS E ROLDANAS",S14051,"PORTA DE CORRER EM VIDRO TEMPERADO INCOLOR 10MM, INCLUSIVE FECHADURA, PUXADOR, TRILHOS E ROLDANAS",ORSE,INSUMO,100,EXACT_CODE
15.4.4,28.20.800,EQUIPAMENTO AUTOMATIZADOR DE PORTAS DESLIZANTES PARA FOLHA DUPLA,28.20.800,EQUIPAMENTO AUTOMATIZADOR DE PORTAS DESLIZANTES PARA FOLHA DUPLA,SP OBRAS,INSUMO,100,EXACT_CODE
15.4.5,25.01.400,CAIXILHO EM ALUMÍNIO ANODIZADO FIXO,25.01.400,CAIXILHO EM ALUMÍNIO ANODIZADO FIXO,SP OBRAS,INSUMO,100,EXACT_CODE
15.4.6,161384,VIDRO LAMINADO E=6MM 3+3MM,161384,VIDRO LAMINADO E=6MM 3+3MM,SEDOP,INSUMO,100,EXACT_CODE
15.5.3,30.04.060,"REVESTIMENTO EM CHAPA DE AÇO INOXIDÁVEL PARA PROTEÇÃO DE PORTAS, ALTURA DE 40 CM",30.04.060,"REVESTIMENTO EM CHAPA DE AÇO INOXIDÁVEL PARA PROTEÇÃO DE PORTAS, ALTURA DE 40 CM",SP OBRAS,INSUMO,100,EXACT_CODE
15.5.6,00038168,"PUXADOR TUBULAR RETO DUPLO, EM ALUMINIO CROMADO, COMPRIMENTO DE APROX 400 MM E DIAMETRO DE 25 MM (1"")",00038168,"PUXADOR TUBULAR RETO DUPLO, EM ALUMINIO CROMADO, COMPRIMENTO DE APROX 400 MM E DIAMETRO DE 25 MM (1"")",SINAPI,INSUMO,100,EXACT_CODE
15.6.1,S03946,"GRADIL COM TELA DE ARAME GALVANIZADO FIO 12 BWG, REVESTIDO EM EM PVC, MALHA 2 1/2"", FIXADA COM TUBOS DE AÇO GALVANIZADO 2 1/2"", FORMANDO QUADROS DE 2.00 X 1.00 M, EXCETO MURETA",S03946,"GRADIL COM TELA DE ARAME GALVANIZADO FIO 12 BWG, REVESTIDO EM EM PVC, MALHA 2 1/2"", FIXADA COM TUBOS DE AÇO GALVANIZADO 2 1/2"", FORMANDO QUADROS DE 2.00 X 1.00 M, EXCETO MURETA",ORSE,INSUMO,100,EXACT_CODE
15.6.2,35.03.030,"CANCELA AUTOMÁTICA METÁLICA COM BARREIRA DE ALUMÍNIO DE 3,50 ATÉ 4,00 M",35.03.030,"CANCELA AUTOMÁTICA METÁLICA COM BARREIRA DE ALUMÍNIO DE 3,50 ATÉ 4,00 M",SP OBRAS,INSUMO,100,EXACT_CODE
15.6.3,S12038,"PORTÃO EM FERRO, EM TUBO DE AÇO GALV. 2.1/2"" E TELA DE AÇO GALV REVESTIDO EM PVC, QUADRANGULAR / LOSANGULAR, FIO 2,77 MM (12 BWG), BITOLA FINAL = *3,8* MM, MALHA 7,5 X 7,5 CM, H = 2 M",S12038,"PORTÃO EM FERRO, EM TUBO DE AÇO GALV. 2.1/2"" E TELA DE AÇO GALV REVESTIDO EM PVC, QUADRANGULAR / LOSANGULAR, FIO 2,77 MM (12 BWG), BITOLA FINAL = *3,8* MM, MALHA 7,5 X 7,5 CM, H = 2 M",ORSE,INSUMO,100,EXACT_CODE
15.7.2,06.03.062,CO-28 CORRIMÃO DUPLO COM MONTANTE VERTICAL AÇO INOX FORNECIDO E INSTALADO,06.03.062,CO-28 CORRIMÃO DUPLO COM MONTANTE VERTICAL AÇO INOX FORNECIDO E INSTALADO,SP Obras,INSUMO,100,EXACT_CODE
15.7.2,06.03.062,CO-28 CORRIMÃO DUPLO COM MONTANTE VERTICAL AÇO INOX FORNECIDO E INSTALADO,06.03.062,CO-28 CORRIMÃO DUPLO COM MONTANTE VERTICAL AÇO INOX FORNECIDO E INSTALADO,SP EDUCAÇÃO,INSUMO,100,EXACT_CODE
15.7.3,S07693,"GUARDA-CORPO EM TUBO DE AÇO INOX Ø=3"", COM MONTANTES FLANGEADO EM TUBO INOX Ø=3"" E COM FECHAMENTO EM TUBO Ø=2"", COM ACABAMENTO POLIDO, H=0,90M, FIXADO NAS EXTREMIDADES",S07693,"GUARDA-CORPO EM TUBO DE AÇO INOX Ø=3"", COM MONTANTES FLANGEADO EM TUBO INOX Ø=3"" E COM FECHAMENTO EM TUBO Ø=2"", COM ACABAMENTO POLIDO, H=0,90M, FIXADO NAS EXTREMIDADES",ORSE,INSUMO,100,EXACT_CODE
15.8.1,06.03.020,EM-06 ESCADA DE MARINHEIRO C/GUARDA CORPO GALVANIZADA,06.03.020,EM-06 ESCADA DE MARINHEIRO C/GUARDA CORPO GALVANIZADA,SP Obras,INSUMO,100,EXACT_CODE
15.8.1,06.03.020,EM-06 ESCADA DE MARINHEIRO C/GUARDA CORPO GALVANIZADA,06.03.020,EM-06 ESCADA DE MARINHEIRO C/GUARDA CORPO GALVANIZADA,SP EDUCAÇÃO,INSUMO,100,EXACT_CODE
15.8.2,S13125,"PISO/PLATAFORMA EM CHAPA EXPANDIDA 1/4"" ( 0,50 X1,00 ) COM CANTONEIRA L 1/4' X 1/4"" OBRA PALÁCIO MUSEU OLÍMPIO CAMPOS",S13125,"PISO/PLATAFORMA EM CHAPA EXPANDIDA 1/4"" ( 0,50 X1,00 ) COM CANTONEIRA L 1/4' X 1/4"" OBRA PALÁCIO MUSEU OLÍMPIO CAMPOS",ORSE,INSUMO,100,EXACT_CODE
15.9.1,S03410,PEITORIL DE CONCRETO ARMADO COM PINGADEIRA LARGURA 13 CM,S03410,PEITORIL DE CONCRETO ARMADO COM PINGADEIRA LARGURA 13 CM,ORSE,INSUMO,100,EXACT_CODE
