idx,source,code,desc,unit,qty,manual_price,type,status,final_price,method
1.1.9,SINAPI,101509,"ENTRADA DE ENERGIA ELÉTRICA, AÉREA, TRIFÁSICA, COM CAIXA DE EMBUTIR, CABO DE 10 MM2 E DISJUNTOR DIN 50A",UN,1.0,3080.0299999999997,ITEM,OK,2021.6390355490582,CALCULATED
1.1.10,SINAPI,95648,"KIT CAVALETE PARA MEDIÇÃO DE ÁGUA - ENTRADA INDIVIDUALIZADA, EM CPVC DN 28 MM (1""), PARA 1 MEDIDOR - FORNECIMENTO E INSTALAÇÃO (EXCLUSIVE HIDRÔMETRO)",UN,1.0,585.48,ITEM,OK,568.5012727758,CALCULATED
1.1.11,SINAPI,95673,"HIDRÔMETRO DN 20 (½ ), 1,5 M³/H FORNECIMENTO E INSTALAÇÃO",UN,1.0,127.98,ITEM,OK,121.032547037,CALCULATED
1.1.12,SINAPI,93214,"EXECUÇÃO DE RESERVATÓRIO ELEVADO DE ÁGUA (1000 LITROS) EM CANTEIRO DE OBRA, APOIADO EM ESTRUTURA DE MADEIRA",UN,3.0,1712.12,ITEM,NO_COMP,1712.12,PO_MANUAL
1.1.13,SINAPI,104142,LIGAÇÃO PROVISÓRIA DE ESGOTO PARA CANTEIRO DE OBRAS,UN,1.0,513.6600000000001,ITEM,NO_COMP,513.6600000000001,PO_MANUAL
1.1.14,SINAPI,103689,FORNECIMENTO E INSTALAÇÃO DE PLACA DE OBRA COM CHAPA GALVANIZADA E ESTRUTURA DE MADEIRA,M2,12.0,467.75,ITEM,OK,470.706115232645,CALCULATED
1.1.15,CPOS,05.07.040,"REMOÇÃO DE ENTULHO SEPARADO DE OBRA COM CAÇAMBA METÁLICA - TERRA, ALVENARIA, CONCRETO, ARGAMASSA, MADEIRA, PAPEL, PLÁSTICO OU METAL",M3,1152.0,111.96000000000001,ITEM,NO_COMP,111.96000000000001,PO_MANUAL
1.1.16,SINAPI,98459,TAPUME COM TELHA METÁLICA,M2,1496.0,97.28,ITEM,OK,90.2952101672881,CALCULATED
1.1.17,SINAPI,101907,"EXTINTOR DE INCÊNDIO PORTÁTIL COM CARGA DE CO2 DE 6 KG, CLASSE BC",UN,11.0,881.49,ITEM,OK,719.3144867252,CALCULATED
1.1.18,EMOP,15.058.0050-0,"FORNECIMENTO DE AGUA,PARA OBRAS PUBLICAS",M3XME,6534.0,27.93,ITEM,NO_COMP,27.93,PO_MANUAL
1.1.19,SINAPI,99059,"LOCAÇÃO CONVENCIONAL DE OBRA, UTILIZANDO GABARITO DE TÁBUAS CORRIDAS PONTALETADAS A CADA 2,00M - 2 UTILIZAÇÕES. AF_03/2024",M,385.3,69.62,ITEM,OK,74.56847513917711,CALCULATED
1.1.20,PRÓPRIA,CPU-002,CONSUMO DE ENERGIA MENSAL MÉDIO PARA O PERÍODO DE OBRA,MÊS,36.0,6300.0,ITEM,NO_COMP,6300.0,PO_MANUAL
1.1.21,SUDECAP,01.13.02,BAIA DUPLA PARA RESÍDUOS DA CONSTRUÇÃO CIVIL,UN,1.0,3207.4700000000003,ITEM,NO_COMP,3207.4700000000003,PO_MANUAL
1.1.22,SETOP,ED-33228,BAIA PARA ACONDICIONAMENTO DE AGREGADOS (FORNECIMENTO E INSTALAÇÃO),M2,12.0,244.26,ITEM,NO_COMP,244.26,PO_MANUAL
1.1.23,CPU-PPR,CPU-EBSERH-03030,DESMOBILIZAÇÃO DE CANTEIRO DE OBRAS,UND,1.0,3485.9900000000002,ITEM,NO_COMP,3486.0,PO_MANUAL
1.2,,,ADMINISTRAÇÃO LOCAL DA OBRA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
1.2.1,SINAPI,CPU-003,EQUIPE DE GESTÃO DA OBRA COM ENCARGOS COMPLEMENTARES,UN,1.0,7661190.09,ITEM,NO_COMP,7661190.09,PO_MANUAL
1.2.2,PRÓPRIA,CPU-004,ART - ANOTAÇÃO DE RESPONSABILIDADE TÉCNICA (VALOR ÚNICO PARA ESTE PORTE DE OBRA EM TODO O TERRITÓRIO NACIONAL),UN,6.0,271.47,ITEM,NO_COMP,271.47,PO_MANUAL
1.2.3,SETOP,CO-19622,ELABORAÇÃO DO PLANO DE GERENCIAMENTO DE RESÍDUOS DE CONSTRUÇÃO CIVIL (PGRCC),UN,1.0,9335.04,ITEM,NO_COMP,9335.04,PO_MANUAL
1.2.4,PRÓPRIA,CPU-005,PROGRAMA DE GERENCIAMENTO DE RISCOS (PGR),UND,1.0,18154.97,ITEM,NO_COMP,18154.97,PO_MANUAL
1.2.5,PRÓPRIA,CPU-006,PROGRAMA DE CONTROLE MÉDICO DE SAÚDE OCUPACIONAL (PCMSO),UND,1.0,8169.5599999999995,ITEM,NO_COMP,8169.5599999999995,PO_MANUAL
1.2.6,CLARO,CPU-007,CONSUMO TELEFONE,UN,216.0,59.9,ITEM,NO_COMP,59.9,PO_MANUAL
1.2.7,PRÓPRIA,CPU-008,INTERNET FIXA VIA FIBRA ÓTICA PARA ESCRITÓRIO / CANTEIRO DE OBRAS,MÊS,36.0,99.0,ITEM,NO_COMP,99.0,PO_MANUAL
1.2.8,PRÓPRIA,CPU-009,TAXA DE ALVARÁ DE CONSTRUÇÃO,UN,1.0,601.5,ITEM,NO_COMP,601.5,PO_MANUAL
1.2.9,PRÓPRIA,CPU-010,MANUTENÇÃO MENSAL DE CANTEIROS,MÊS,36.0,12314.720000000001,ITEM,NO_COMP,12314.720000000001,PO_MANUAL
1.3,,,EQUIPAMENTOS DE MOVIMEMENTAÇÃO E SEGURANÇA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
1.3.1,SINAPI,00020193,"LOCACAO DE ANDAIME METALICO TIPO FACHADEIRO, PECAS COM APROXIMADAMENTE 1,20 M DE LARGURA E 2,0 M DE ALTURA, INCLUINDO DIAGONAIS EM X, BARRAS DE LIGACAO, SAPATAS E DEMAIS ITENS NECESSARIOS A MONTAGEM (NAO INCLUI INSTALACAO)",M2XME,9973.8,19.42,ITEM,NO_COMP,19.42,PO_MANUAL
1.3.2,SINAPI,00010527,"LOCACAO DE ANDAIME METALICO TUBULAR DE ENCAIXE, TIPO DE TORRE, CADA PAINEL COM LARGURA DE 1 ATE 1,5 M E ALTURA DE *1,00* M, INCLUINDO DIAGONAL, BARRAS DE LIGACAO, SAPATAS OU RODIZIOS E DEMAIS ITENS NECESSARIOS A MONTAGEM (NAO INCLUI INSTALACAO)",MXMES,1200.0,25.9,ITEM,NO_COMP,25.9,PO_MANUAL
1.3.3,SINAPI,97064,"MONTAGEM E DESMONTAGEM DE ANDAIME TUBULAR TIPO ""TORRE"" (EXCLUSIVE ANDAIME E LIMPEZA). AF_03/2024",M,320.0,28.130000000000003,ITEM,OK,31.08750439937976,CALCULATED
1.3.4,SINAPI,97062,COLOCAÇÃO DE TELA EM ANDAIME FACHADEIRO. AF_03/2024,M2,5220.0,3.88,ITEM,OK,6.988585284542399,CALCULATED
1.3.5,SINAPI,97063,"MONTAGEM E DESMONTAGEM DE ANDAIME MODULAR FACHADEIRO, COM PISO METÁLICO, PARA EDIFÍCIOS COM MULTIPLOS PAVIMENTOS (EXCLUSIVE ANDAIME E LIMPEZA). AF_03/2024",M2,5220.0,20.17,ITEM,OK,22.005790817822724,CALCULATED
1.3.6,SINAPI,97062,COLOCAÇÃO DE TELA EM FACHADA,M2,4665.6,4.44,ITEM,OK,6.988585284542399,CALCULATED
1.3.7,SETOP,ED-9176,"LINHA DE VIDA HORIZONTAL PROVISÓRIA EM CABO DE AÇO PARA CONSTRUÇÃO DE ESTRUTURAS, INCLUSIVE POSTE E PROLONGADOR, EXCLUSIVE PROJETO E ART",M,365.3,14.59,ITEM,NO_COMP,14.59,PO_MANUAL
1.3.8,SINAPI,97015,GUARDA-CORPO FIXADO EM FÔRMA DE MADEIRA COM MONTANTES E TRAVESSÕES EM MADEIRA E FECHAMENTO EM PLACA COMPENSADO PARA EDIFÍCIOS COM ALTURA IGUAL OU SUPERIOR A 4 PAVIMENTOS. INCLUSIVE TELA.,M,857.0,57.38,ITEM,OK,55.6005476106928,CALCULATED
1.3.9,SINAPI,105110,ASCENSÃO DE GRUA ASCENSIONAL. AF_03/2024,M,36.0,201.66,ITEM,OK,230.475170923,CALCULATED
1.3.10,DER-ES,10364,"CONE PARA SINALIZAÇAO ( NBR-15.071, H=75CM)",UD,12.0,94.0,ITEM,NO_COMP,94.0,PO_MANUAL
1.3.11,SP OBRAS,A.05.000.080110,"BALANCIM ELÉTRICO TIPO PLATAFORMA DE 3 M DE COMPRIMENTO, PARA TRANSPORTE VERTICAL, COM CABO PASSANTE DE 60M, COM GANCHO, CLIPS, SAPATILHAS, PONTA DE CABO, ETC.",UNMES,23.0,2309.95,ITEM,NO_COMP,2309.95,PO_MANUAL
1.3.12,SP OBRAS,55.10.030,LOCAÇÃO DE DUTO COLETOR DE ENTULHO,MXMES,130.0,94.83,ITEM,NO_COMP,94.83,PO_MANUAL
1.3.13,ORSE,S12895,"PLACA DE SINALIZACAO, FOTOLUMINESCENTE, EM PVC , ROTA DE FUGA",UN,100.0,15.94,ITEM,NO_COMP,15.94,PO_MANUAL
1.3.14,SETOP,ED-28493,"BANDEJA SALVA VIDAS, TIPO PRIMÁRIA, EM SUPORTE METÁLICO COM FORRO EM COMPENSADO RESINADO E TÁBUA, COMPRIMENTO DE 250CM COM COMPLEMENTO DE 80CM, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO E INSTALAÇÃO",M,179.4,252.68,ITEM,NO_COMP,252.68,PO_MANUAL
1.3.15,SETOP,ED-28494,"BANDEJA SALVA VIDAS, TIPO SECUNDÁRIA, EM SUPORTE METÁLICO COM FORRO EM COMPENSADO RESINADO E TÁBUA, COMPRIMENTO DE 140CM COM COMPLEMENTO DE 80CM, INCLUSIVE ACESSÓRIOS DE FIXAÇÃO E INSTALAÇÃO",M,358.8,156.53,ITEM,NO_COMP,156.53,PO_MANUAL
1.3.16,EMOP,18.025.0005-0,"BEBEDOURO PURIFICADOR,DE COLUNA,EM ACO INOXIDAVEL,MODELO PRESSAO,COM 2 TORNEIRAS,VAZAO MINIMA DE 30L/H,CONFORME ABNT NBR16236.FORNECIMENTO",UN,7.0,968.62,ITEM,NO_COMP,968.62,PO_MANUAL
1.3.17,ORSE,S12259,"MANUTENÇÃO DE ELEVADOR CREMALHEIRA OMG12 COM 45,50M DE ALTURA, PREVISTA APÓS 30 DIAS DE OPERAÇÃO. COBRADO MENSALMENTE, INCLUSIVE TESTE DE FREIO A CADA 90 DIAS",MES,30.0,1750.0,ITEM,NO_COMP,1750.0,PO_MANUAL
1.3.18,ORSE,I13099,"MONTAGEM DE ELEVADOR CREMALHEIRA OMG12 COM 45,50M DE ALTURA, CABINE SIMPLES - 1.200KG OU 17 PESSOAS",UN,1.0,7500.0,ITEM,NO_COMP,7500.0,PO_MANUAL
1.3.19,ORSE,S12258,"DESMONTAGEM DE ELEVADOR CREMALHEIRA OMG12 COM 45,50M DE ALTURA, CABINE SIMPLES - 1.200KG OU 17 PESSOAS",UN,1.0,6500.0,ITEM,NO_COMP,6500.0,PO_MANUAL
1.3.20,ORSE,S12260,"LOCAÇÃO DE ELEVADOR CREMALHEIRA COM 45,50M DE ALTURA, 03 CANCELAS, CABINE SIMPLES - 1.200KG OU 17 PESSOAS.",MES,30.0,7390.78,ITEM,NO_COMP,7390.78,PO_MANUAL
1.3.21,SINAPI,95212,"GRUA ASCENCIONAL, LANCA DE 42 M, CAPACIDADE DE 1,5 T A 30 M, ALTURA ATE 39 M - CHP DIURNO. AF_05/2023",CHP,3942.9,175.14,ITEM,OK,116.7367768,CALCULATED
1.3.22,SINAPI,95213,"GRUA ASCENCIONAL, LANÇA DE 42 M, CAPACIDADE DE 1,5 T A 30 M, ALTURA ATÉ 39 M - CHI DIURNO. AF_05/2023",CHI,985.6,106.87,ITEM,OK,75.98493680000001,CALCULATED
1.3.23,SINAPI,95213,"GRUA ASCENCIONAL, LANÇA DE 42 M, CAPACIDADE DE 1,5 T A 30 M, ALTURA ATÉ 39 M - CHI NOTURNO",CHI,15232.0,58.74,ITEM,OK,75.98493680000001,CALCULATED
2,,,"ELABORAÇÃO DE PROJETOS EXECUTIVO, LIBERAÇÕES, APROVAÇÕES E TAXAS",,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
2.1,PRÓPRIA,CPU-011,"ELABORAÇÃO DE PROJETO EXECUTIVO DE ARQUITETURA HOSPITALAR, ESTRUTURAS DE CONCRETO ARMAÇO E ESTRUTURAS METÁLICAS, MOVIMENTAÇÃO DE TERRA (TERRAPLENAGEM), DRENAGEM PLUVIAL, PAVIMENTAÇÃO, ELÉTRICA, SONORIZAÇÃO E COMUNICAÇÃO, TELEFONIA, PROTEÇÃO CONTRA DESCARGAS ELÉTRICAS, INDICADOR SONORO E SINALIZAÇÃO DE EMERGÊNCIA, ILUMINAÇÃO, SISTEMA DE DETECÇÃO DE ALARME DE INCÊNDIO, SUBESTAÇÃO TRANSFORMADORA, PEINASL DE MÉDIA TENSÃO, SUBESTAÇÃO, ARCONDICIONADO, VENTILAÇÃO, E RENOVAÇÃO DE AR, IMPLANTAÇÃO DE REDE DE ESGOTO, INSTALAÇÃO DE ´RESERVATÓRIOS, ÁGUA FRIA, ÁGUA QUENTEE, REDE DE ÁGUA REEUSO, ACÚSTICA E CLIMATIZAÇÃO, GASES, GLP, DIESEL, AUTOMAÇÃO E QUADRO DE COMANDO, PREVENÇÃO E COMBATE A INCÊNDIO, LINHAS DE VIDA E ANCORAGEM, MOVEIS, LOUÇAS, METAIS, TAMPOS E MARCENARIA.",MÊS,2.0,270254.13,ITEM,NO_COMP,270254.13,PO_MANUAL
3,,,TERRAPLENAGEM,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
3.1,DER-ES,43335,REGULARIZAÇÃO DE BOTA-FORA COM ESPALHAMENTO E COMPACTAÇÃO,M3,4061.23,3.71,ITEM,NO_COMP,3.71,PO_MANUAL
3.2,SINAPI,98525,"LIMPEZA MECANIZADA DE CAMADA VEGETAL, VEGETAÇÃO E PEQUENAS ÁRVORES (DIÂMETRO DE TRONCO MENOR QUE 0,20 M), COM TRATOR DE ESTEIRAS. AF_03/2024",M2,20306.16,0.69,ITEM,OK,0.6962881285799999,CALCULATED
3.3,SICRO NOVO,5502109,"ESCAVAÇÃO, CARGA E TRANSPORTE DE MATERIAL DE 1ª CATEGORIA - DMT DE 50 A 200 M - CAMINHO DE SERVIÇO EM LEITO NATURAL - COM ESCAVADEIRA E CAMINHÃO BASCULANTE DE 14 M³",M³,31964.75,6.21,ITEM,NO_COMP,6.21,PO_MANUAL
3.4,SICRO NOVO,5502611,"ESCAVAÇÃO, CARGA E TRANSPORTE DE MATERIAL DE 2ª CATEGORIA - DMT DE 50 A 200 M - CAMINHO DE SERVIÇO EM LEITO NATURAL - COM ESCAVADEIRA E CAMINHÃO BASCULANTE DE 14 M³",M³,7991.21,8.41,ITEM,NO_COMP,8.41,PO_MANUAL
3.5,SICRO NOVO,5502742,"ESCAVAÇÃO, CARGA E TRANSPORTE DE MATERIAL DE 3ª CATEGORIA - DMT DE 50 A 200 M - CAMINHO DE SERVIÇO EM LEITO NATURAL COM CAMINHÃO BASCULANTE DE 12 M³",M³,7991.21,43.47,ITEM,NO_COMP,43.47,PO_MANUAL
3.6,SINAPI,100576,REGULARIZAÇÃO DO SUBLEITO - 100% PROCTOR INTERMEDIÁRIO,M2,46800.0,3.11,ITEM,OK,2.7151507062860003,CALCULATED
3.7,SICRO NOVO,4413985,REGULARIZAÇÃO MANUAL DE TALUDES DE CORTES E ATERROS,M²,2917.8,23.88,ITEM,NO_COMP,23.88,PO_MANUAL
3.8,PRÓPRIA,CPU-92933449,MATERIAL DE PRIMEIRA CATEGORIA PROVENIENTE DE EMPRÉSTIMO COMERCIAL (ARGILA OU SAIBRO) COM CARACTERÍSTICAS ADEQUADAS PARA UTILIZAÇÃO NO ATERRO CONFORME INDICAÇÃO DO PROJETO DE TERRAPLENAGEM.,M3,33407.6,66.73,ITEM,NO_COMP,66.73,PO_MANUAL
3.9,ORSE,S02522,COMPACTAÇÃO DE ATERROS A 100% DO PROCTOR NORMAL,M3,19973.5,4.96,ITEM,NO_COMP,4.96,PO_MANUAL
3.10,SINAPI,98529,"CORTE RASO E RECORTE DE ÁRVORE COM DIÂMETRO DE TRONCO MAIOR OU IGUAL A 0,20 M E MENOR QUE 0,40 M. AF_03/2024",UN,4.0,78.66,ITEM,OK,97.90513617389999,CALCULATED
3.11,SINAPI,98526,"REMOÇÃO DE RAÍZES REMANESCENTES DE TRONCO DE ÁRVORE COM DIÂMETRO MAIOR OU IGUAL A 0,20 M E MENOR QUE 0,40 M. AF_03/2024",UN,4.0,137.53,ITEM,OK,149.58676454087322,CALCULATED
3.12,SICRO NOVO,4016096,"ESCAVAÇÃO E CARGA DE MATERIAL DE JAZIDA COM ESCAVADEIRA HIDRÁULICA DE 1,56 M³",M³,33407.6,1.48,ITEM,NO_COMP,1.48,PO_MANUAL
3.13,SICRO NOVO,5914449,TRANSPORTE COM CAMINHÃO CARROCERIA DE 15 T - RODOVIA EM LEITO NATURAL,TKM,12828.52,1.09,ITEM,NO_COMP,1.09,PO_MANUAL
3.14,SICRO NOVO,5914464,TRANSPORTE COM CAMINHÃO CARROCERIA DE 15 T - RODOVIA EM REVESTIMENTO PRIMÁRIO,TKM,256570.37,0.88,ITEM,NO_COMP,0.88,PO_MANUAL
3.15,SICRO NOVO,5914479,TRANSPORTE COM CAMINHÃO CARROCERIA DE 15 T - RODOVIA PAVIMENTADA,TKM,705568.51,0.72,ITEM,NO_COMP,0.72,PO_MANUAL
3.16,SICRO NOVO,5914449,TRANSPORTE COM CAMINHÃO CARROCERIA DE 15 T - RODOVIA EM LEITO NATURAL,TKM,1218.37,1.09,ITEM,NO_COMP,1.09,PO_MANUAL
3.17,SICRO NOVO,5914464,TRANSPORTE COM CAMINHÃO CARROCERIA DE 15 T - RODOVIA EM REVESTIMENTO PRIMÁRIO,TKM,30459.24,0.88,ITEM,NO_COMP,0.88,PO_MANUAL
3.18,SICRO NOVO,5914479,TRANSPORTE COM CAMINHÃO CARROCERIA DE 15 T - RODOVIA PAVIMENTADA,TKM,91377.72,0.72,ITEM,NO_COMP,0.72,PO_MANUAL
3.19,SINAPI,74022/011,ENSAIO DE COMPACTACAO - AMOSTRAS NAO TRABALHADAS - ENERGIA INTERMEDIARIA - SOLOS,UN,65.0,292.6,ITEM,NO_COMP,292.6,PO_MANUAL
3.20,SUDECAP,C67.01.13,ÍNDICE DE SUPORTE CALIFÓRNIA DE SOLOS (ISC/CBR) C/3 CP (DNIT 172/016-ME / NBR 9895:2017),UN,23.0,310.0,ITEM,NO_COMP,310.0,PO_MANUAL
3.21,SINAPI,74022/006,ENSAIO DE GRANULOMETRIA POR PENEIRAMENTO - SOLOS,UN,23.0,161.43,ITEM,NO_COMP,161.43,PO_MANUAL
4,,,PAVIMENTAÇÃO EXTERNA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
4.1,SICRO NOVO,4011304,REFORÇO DO SUBLEITO DE SOLO MELHORADO COM 4% DE CAL E MISTURA NA PISTA COM MATERIAL DE JAZIDA - 100% PROCTOR INTERMEDIÁRIO,M³,2626.5,61.370000000000005,ITEM,NO_COMP,61.370000000000005,PO_MANUAL
4.2,SINAPI,105730,"CONSTRUÇÃO DE BASE E SUB-BASE PARA PAVIMENTAÇÃO DE BRITA GRADUADA SIMPLES, COM ESPESSURA DE 20 CM - EXCLUSIVE CARGA E TRANSPORTE. AF_09/2024",M3,4761.77,191.97,ITEM,NO_COMP,191.97,PO_MANUAL
4.3,SINAPI,94275,MEIO-FIO DE CONCRETO - MFC 05 - AREIA E BRITA COMERCIAIS - FÔRMA DE MADEIRA,M,5554.8,40.459999999999994,ITEM,OK,39.8665722328344,CALCULATED
4.4,SINAPI,92404,"EXECUÇÃO DE PAVIMENTO EM PISO INTERTRAVADO, COM BLOCO 16 FACES DE 22 X 11 CM, ESPESSURA 8 CM. AF_10/2022",M2,5904.7,79.53,ITEM,OK,95.16297396202302,CALCULATED
4.5,SINAPI,92406,"EXECUÇÃO DE PAVIMENTO EM PISO INTERTRAVADO, COM BLOCO 16 FACES DE 22 X 11 CM, ESPESSURA 10 CM. AF_10/2022",M2,9992.6,133.93,ITEM,OK,114.78803442074502,CALCULATED
4.6,SINAPI,92392,"EXECUÇÃO DE PAVIMENTO EM PISO INTERTRAVADO, COM BLOCO PISOGRAMA DE 35 X 15 CM, ESPESSURA 8 CM. AF_10/2022",M2,4008.33,80.43,ITEM,OK,155.8380822958726,CALCULATED
5,,,DRENAGEM ESTACIONAMENTO E ÁREA EXTERNA,,0.0,,HEADER,HEADER,0.0,SUM_CHILDREN
5.1,SINAPI,94116,"LASTRO COM PREPARO DE FUNDO, LARGURA MAIOR OU IGUAL A 1,5 M, COM CAMADA DE BRITA, LANÇAMENTO MECANIZADO, EM LOCAL COM NÍVEL BAIXO DE INTERFERÊNCIA. AF_06/2016",M3,4427.18,222.79000000000002,ITEM,NO_COMP,222.79000000000002,PO_MANUAL
5.2,SICRO NOVO,5502806,CAMADA DRENANTE COM CONFORMAÇÃO DE TRATOR DE ESTEIRA - AREIA COMERCIAL,M³,608.4,127.62,ITEM,NO_COMP,127.62,PO_MANUAL
5.3,SICRO NOVO,M1433,"GRELHA METÁLICA PARA CANALETAS - C = 0,50 M E L = 0,50 M",UN,212.0,306.73,ITEM,NO_COMP,306.73,PO_MANUAL
5.4,SICRO NOVO,M1434,"PORTA-GRELHA METÁLICA - C = 0,50 M E L = 0,50 M",M,106.0,166.89,ITEM,NO_COMP,166.89,PO_MANUAL
5.5,SICRO NOVO,M1733,MANTA DRENANTE EM MALHA DE POLIETILENO E GEOTÊXTIL DE POLIPROPILENO EM UMA DAS FACES,M²,14135.2,49.94,ITEM,NO_COMP,49.94,PO_MANUAL
5.6,SICRO NOVO,2003630,BOCA DE LOBO SIMPLES - GRELHA DE CONCRETO - BLSG 03 - AREIA E BRITA COMERCIAIS,UN,7.0,1618.29,ITEM,NO_COMP,1618.29,PO_MANUAL
5.7,ORSE,S06337,"TUBO PVC, SÉRIE R, ÁGUA PLUVIAL, DN 200 MM, FORNECIDO E INSTALADO",M,507.0,127.11,ITEM,NO_COMP,127.11,PO_MANUAL
5.8,SICRO NOVO,M2160,TUBO PEAD CORRUGADO PERFURADO PARA DRENAGEM - D = 100 MM,M,879.0,22.25,ITEM,NO_COMP,22.25,PO_MANUAL
5.9,SINAPI,92210,"TUBO DE CONCRETO ARMADO PA2 - D = 0,40 M",M,124.0,197.85,ITEM,OK,158.6226191264092,CALCULATED
5.10,SINAPI,92212,"TUBO DE CONCRETO PA3 COMERCIAL PARA DRENAGEM - D = 0,60 M - FORNECIMENTO E INSTALAÇÃO",M,595.0,370.31,ITEM,OK,293.2615648554314,CALCULATED
5.11,SINAPI,92214,"TUBO DE CONCRETO PA3 COMERCIAL PARA DRENAGEM - D = 0,80 M - FORNECIMENTO E INSTALAÇÃO",M,338.0,600.3599999999999,ITEM,OK,470.80620376950657,CALCULATED
5.12,SINAPI,92216,"TUBO DE CONCRETO PA3 COMERCIAL PARA DRENAGEM - D = 1,00 M - FORNECIMENTO E INSTALAÇÃO",M,176.0,713.03,ITEM,OK,561.4208683504847,CALCULATED
5.13,SINAPI,92816,"TUBO DE CONCRETO PA2 COMERCIAL PARA DRENAGEM - D = 1,20 M - FORNECIMENTO E INSTALAÇÃO",M,348.0,1038.55,ITEM,OK,810.165682831346,CALCULATED
5.14,SINAPI,92818,"TUBO DE CONCRETO PA3 COMERCIAL PARA DRENAGEM - D = 1,50 M - FORNECIMENTO E INSTALAÇÃO",M,456.0,1486.0,ITEM,OK,1153.2929283333265,CALCULATED
5.15,SICRO NOVO,2003678,POÇO DE VISITA - PVI 01 - AREIA E BRITA COMERCIAIS,UN,4.0,2463.12,ITEM,NO_COMP,2463.12,PO_MANUAL
5.16,SICRO NOVO,2003680,POÇO DE VISITA - PVI 02 - AREIA E BRITA COMERCIAIS,UN,21.0,2430.4,ITEM,NO_COMP,2430.4,PO_MANUAL
5.17,SICRO NOVO,2003682,POÇO DE VISITA - PVI 03 - AREIA E BRITA COMERCIAIS,UN,11.0,2778.3,ITEM,NO_COMP,2778.3,PO_MANUAL
5.18,SICRO NOVO,2003684,POÇO DE VISITA - PVI 04 - AREIA E BRITA COMERCIAIS,UN,5.0,3321.62,ITEM,NO_COMP,3321.62,PO_MANUAL
5.19,SICRO NOVO,2003686,POÇO DE VISITA - PVI 05 - AREIA E BRITA COMERCIAIS,UN,3.0,3927.1900000000005,ITEM,NO_COMP,3927.1900000000005,PO_MANUAL
5.20,SICRO NOVO,2003720,CHAMINÉ DOS POÇOS DE VISITA - CPV 04 - AREIA E BRITA COMERCIAIS,UN,44.0,2517.54,ITEM,NO_COMP,2517.54,PO_MANUAL
