parent_code,src,res_code,res_desc,res_unit,coef,price
103322,SINAPI,88309,PEDREIRO COM ENCARGOS COMPLEMENTARES,H,0.59,33.6814646
103322,SINAPI,87292,"ARGAMASSA TRAÇO 1:2:8 (EM VOLUME DE CIMENTO, CAL E AREIA MÉDIA ÚMIDA) PARA EMBOÇO/MASSA ÚNICA/ASSENTAMENTO DE ALVENARIA DE VEDAÇÃO, PREPARO MECÂNICO COM BETONEIRA 400 L. AF_08/2019",M3,0.0104,510.63358374999996
103322,SINAPI,37592,"BLOCO CERAMICO / TIJOLO VAZADO PARA ALVENARIA DE VEDACAO, FUROS NA VERTICAL DE 9 X 19 X 39 CM (L X A X C)",UN,13.6,2.02
103322,SINAPI,37395,"PINO DE ACO COM FURO, HASTE = 27 MM (ACAO DIRETA)",CENTO,0.005,43.74
103322,SINAPI,34557,"TELA DE ACO SOLDADA GALVANIZADA/ZINCADA PARA ALVENARIA, FIO D = *1,20 A 1,70* MM, MALHA 15 X 15 MM, (C X L) *50 X 7,5* CM",M,0.42,2.21
87396,SINAPI,88392,"MISTURADOR DE ARGAMASSA, EIXO HORIZONTAL, CAPACIDADE DE MISTURA 300 KG, MOTOR ELÉTRICO POTÊNCIA 5 CV - CHI DIURNO. AF_05/2023",CHI,3.62,0.951629536
87396,SINAPI,88386,"MISTURADOR DE ARGAMASSA, EIXO HORIZONTAL, CAPACIDADE DE MISTURA 300 KG, MOTOR ELÉTRICO POTÊNCIA 5 CV - CHP DIURNO. AF_05/2023",CHP,1.1,4.156904536
87396,SINAPI,88377,OPERADOR DE BETONEIRA ESTACIONÁRIA/MISTURADOR COM ENCARGOS COMPLEMENTARES,H,4.72,28.248960299999997
87396,SINAPI,37553,ARGAMASSA INDUSTRIALIZADA PARA CHAPISCO COLANTE,KG,1981.23,1.57
87367,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,11.23,29.0540166
87367,SINAPI,1379,CIMENTO PORTLAND COMPOSTO CP II-32,KG,261.89,0.61
87367,SINAPI,1106,CAL HIDRATADA CH-I PARA ARGAMASSAS,KG,116.4,0.98
87367,SINAPI,370,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,1.16,78.0
87369,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,11.1,29.0540166
87369,SINAPI,1379,CIMENTO PORTLAND COMPOSTO CP II-32,KG,192.52,0.61
87369,SINAPI,1106,CAL HIDRATADA CH-I PARA ARGAMASSAS,KG,171.13,0.98
87369,SINAPI,370,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,1.14,78.0
87292,SINAPI,88831,"BETONEIRA CAPACIDADE NOMINAL DE 400 L, CAPACIDADE DE MISTURA 280 L, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV, SEM CARREGADOR - CHI DIURNO. AF_05/2023",CHI,3.45,0.35904
87292,SINAPI,88830,"BETONEIRA CAPACIDADE NOMINAL DE 400 L, CAPACIDADE DE MISTURA 280 L, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV, SEM CARREGADOR - CHP DIURNO. AF_05/2023",CHP,1.05,1.620928
87292,SINAPI,88377,OPERADOR DE BETONEIRA ESTACIONÁRIA/MISTURADOR COM ENCARGOS COMPLEMENTARES,H,4.5,28.248960299999997
87292,SINAPI,1379,CIMENTO PORTLAND COMPOSTO CP II-32,KG,195.86,0.61
87292,SINAPI,1106,CAL HIDRATADA CH-I PARA ARGAMASSAS,KG,174.1,0.98
87292,SINAPI,370,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,1.16,78.0
87313,SINAPI,88831,"BETONEIRA CAPACIDADE NOMINAL DE 400 L, CAPACIDADE DE MISTURA 280 L, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV, SEM CARREGADOR - CHI DIURNO. AF_05/2023",CHI,3.31,0.35904
87313,SINAPI,88830,"BETONEIRA CAPACIDADE NOMINAL DE 400 L, CAPACIDADE DE MISTURA 280 L, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV, SEM CARREGADOR - CHP DIURNO. AF_05/2023",CHP,1.01,1.620928
87313,SINAPI,88377,OPERADOR DE BETONEIRA ESTACIONÁRIA/MISTURADOR COM ENCARGOS COMPLEMENTARES,H,4.32,28.248960299999997
87313,SINAPI,1379,CIMENTO PORTLAND COMPOSTO CP II-32,KG,426.49,0.61
87313,SINAPI,367,"AREIA GROSSA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,0.95,79.01
87372,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,11.65,29.0540166
87372,SINAPI,1379,CIMENTO PORTLAND COMPOSTO CP II-32,KG,563.59,0.61
87372,SINAPI,370,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,1.25,78.0
87298,SINAPI,88831,"BETONEIRA CAPACIDADE NOMINAL DE 400 L, CAPACIDADE DE MISTURA 280 L, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV, SEM CARREGADOR - CHI DIURNO. AF_05/2023",CHI,3.39,0.35904
87298,SINAPI,88830,"BETONEIRA CAPACIDADE NOMINAL DE 400 L, CAPACIDADE DE MISTURA 280 L, MOTOR ELÉTRICO TRIFÁSICO POTÊNCIA DE 2 CV, SEM CARREGADOR - CHP DIURNO. AF_05/2023",CHP,1.03,1.620928
87298,SINAPI,88377,OPERADOR DE BETONEIRA ESTACIONÁRIA/MISTURADOR COM ENCARGOS COMPLEMENTARES,H,4.42,28.248960299999997
87298,SINAPI,1379,CIMENTO PORTLAND COMPOSTO CP II-32,KG,573.61,0.61
87298,SINAPI,370,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,1.27,78.0
88629,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,8.57,29.0540166
88629,SINAPI,1379,CIMENTO PORTLAND COMPOSTO CP II-32,KG,482.96,0.61
88629,SINAPI,370,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,1.07,78.0
87373,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,11.02,29.0540166
87373,SINAPI,1379,CIMENTO PORTLAND COMPOSTO CP II-32,KG,454.58,0.61
87373,SINAPI,370,"AREIA MEDIA - POSTO JAZIDA/FORNECEDOR (RETIRADO NA JAZIDA, SEM TRANSPORTE)",M3,1.35,78.0
92923,SINAPI,92806,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 20,0 MM. AF_06/2022",KG,1,8.787229212319998
92923,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0275,33.4070864
92923,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0045,31.269065599999998
92923,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92923,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.113,0.22
92915,SINAPI,92800,"CORTE E DOBRA DE AÇO CA-60, DIÂMETRO DE 5,0 MM. AF_06/2022",KG,1,10.00620784304
92915,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.1933,33.4070864
92915,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0316,31.269065599999998
92915,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92915,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,1.19,0.22
92771,SINAPI,92803,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 10,0 MM. AF_06/2022",KG,1,8.86255905216
92771,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0259,33.4070864
92771,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0042,31.269065599999998
92771,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92771,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.357,0.22
92772,SINAPI,92804,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 12,5 MM. AF_06/2022",KG,1,7.5668692672
92772,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0143,33.4070864
92772,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0023,31.269065599999998
92772,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92772,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.147,0.22
92773,SINAPI,92805,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 16,0 MM. AF_06/2022",KG,1,7.465017716000001
92773,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0121,33.4070864
92773,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.002,31.269065599999998
92773,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92774,SINAPI,92806,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 20,0 MM. AF_06/2022",KG,1,8.787229212319998
92774,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0108,33.4070864
92774,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0018,31.269065599999998
92774,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92769,SINAPI,92801,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 6,3 MM. AF_06/2022",KG,1,9.86209191296
92769,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0597,33.4070864
92769,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0098,31.269065599999998
92769,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92769,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,1.333,0.22
92770,SINAPI,92802,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 8,0 MM. AF_06/2022",KG,1,9.657894370240001
92770,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0403,33.4070864
92770,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0066,31.269065599999998
92770,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92770,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.728,0.22
92768,SINAPI,92800,"CORTE E DOBRA DE AÇO CA-60, DIÂMETRO DE 5,0 MM. AF_06/2022",KG,1,10.00620784304
92768,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0836,33.4070864
92768,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0136,31.269065599999998
92768,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92768,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,2.118,0.22
92762,SINAPI,92803,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 10,0 MM. AF_06/2022",KG,1,8.86255905216
92762,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0392,33.4070864
92762,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0064,31.269065599999998
92762,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92762,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.543,0.22
92763,SINAPI,92804,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 12,5 MM. AF_06/2022",KG,1,7.5668692672
92763,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0257,33.4070864
92763,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0042,31.269065599999998
92763,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92763,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.367,0.22
92764,SINAPI,92805,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 16,0 MM. AF_06/2022",KG,1,7.465017716000001
92764,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0194,33.4070864
92764,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0032,31.269065599999998
92764,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92764,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.212,0.22
92765,SINAPI,92806,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 20,0 MM. AF_06/2022",KG,1,8.787229212319998
92765,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0152,33.4070864
92765,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0025,31.269065599999998
92765,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92765,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.113,0.22
92766,SINAPI,92798,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 25,0 MM. AF_06/2022",KG,1,8.780547795039999
92766,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.012,33.4070864
92766,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.002,31.269065599999998
92766,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92766,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.052,0.22
92760,SINAPI,92801,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 6,3 MM. AF_06/2022",KG,1,9.86209191296
92760,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.079,33.4070864
92760,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0129,31.269065599999998
92760,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92760,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.97,0.22
92761,SINAPI,92802,"CORTE E DOBRA DE AÇO CA-50, DIÂMETRO DE 8,0 MM. AF_06/2022",KG,1,9.657894370240001
92761,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0561,33.4070864
92761,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0092,31.269065599999998
92761,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92761,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,0.743,0.22
92759,SINAPI,92800,"CORTE E DOBRA DE AÇO CA-60, DIÂMETRO DE 5,0 MM. AF_06/2022",KG,1,10.00620784304
92759,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.1069,33.4070864
92759,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0175,31.269065599999998
92759,SINAPI,43132,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",KG,0.025,19.0
92759,SINAPI,39017,"ESPACADOR / DISTANCIADOR CIRCULAR COM ENTRADA LATERAL, EM PLASTICO, PARA VERGALHAO *4,2 A 12,5* MM, COBRIMENTO 20 MM",UN,1.19,0.22
92803,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0088,33.4070864
92803,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0014,31.269065599999998
92803,SINAPI,34,"ACO CA-50, 10,0 MM, VERGALHAO",KG,1.11,7.68
92804,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0048,33.4070864
92804,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0008,31.269065599999998
92804,SINAPI,43055,"ACO CA-50, 12,5 MM OU 16,0 MM, VERGALHAO",KG,1.11,6.65
92805,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0025,33.4070864
92805,SINAPI,43055,"ACO CA-50, 12,5 MM OU 16,0 MM, VERGALHAO",KG,1.11,6.65
92806,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0013,33.4070864
92806,SINAPI,43056,"ACO CA-50, 20,0 MM OU 25,0 MM, VERGALHAO",KG,1.14,7.67
92798,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0011,33.4070864
92798,SINAPI,43056,"ACO CA-50, 20,0 MM OU 25,0 MM, VERGALHAO",KG,1.14,7.67
92801,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.031,33.4070864
92801,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0051,31.269065599999998
92801,SINAPI,32,"ACO CA-50, 6,3 MM, VERGALHAO",KG,1.07,8.1
92802,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0162,33.4070864
92802,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0026,31.269065599999998
92802,SINAPI,33,"ACO CA-50, 8,0 MM, VERGALHAO",KG,1.11,8.14
92800,SINAPI,88245,ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0581,33.4070864
92800,SINAPI,88238,AJUDANTE DE ARMADOR COM ENCARGOS COMPLEMENTARES,H,0.0095,31.269065599999998
92800,SINAPI,43059,"ACO CA-60, 4,2 MM, OU 5,0 MM, OU 6,0 MM, OU 7,0 MM, VERGALHAO",KG,1.07,7.26
92808,SINAPI,88629,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",M3,0.0007,627.058522262
92808,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,0.3132,29.0540166
92808,SINAPI,88246,ASSENTADOR DE TUBOS COM ENCARGOS COMPLEMENTARES,H,0.1566,26.613319699999998
92808,SINAPI,5632,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - CHI DIURNO. AF_06/2014",CHI,0.068,95.614368
92808,SINAPI,5631,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - CHP DIURNO. AF_06/2014",CHP,0.035,216.18046799999996
92809,SINAPI,88629,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",M3,0.0016,627.058522262
92809,SINAPI,88316,SERVENTE COM ENCARGOS COMPLEMENTARES,H,0.4302,29.0540166
92809,SINAPI,88246,ASSENTADOR DE TUBOS COM ENCARGOS COMPLEMENTARES,H,0.2151,26.613319699999998
92809,SINAPI,5632,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - CHI DIURNO. AF_06/2014",CHI,0.0934,95.614368
92809,SINAPI,5631,"ESCAVADEIRA HIDRÁULICA SOBRE ESTEIRAS, CAÇAMBA 0,80 M3, PESO OPERACIONAL 17 T, POTENCIA BRUTA 111 HP - CHP DIURNO. AF_06/2014",CHP,0.0481,216.18046799999996
92810,SINAPI,88629,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",M3,0.003,627.058522262
